roi_number,Area,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RepresentativeWidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,numBlobs,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,Area_over_PerimeterSquared,Area_over_Perimeter,summedConvexPerimeter_over_Perimeter
2,204,1502.9902853549165,23,14,241.9486018209426,57.897203641885156,0.8876988258976337,16.11647812414279,0.6335403726708074,24.699704574480215,11.372351121775374,9.94827855078151,62.07716446627535,8.826086956521738,0.8431542834497263,807.6880298353992,23.409398803895336,12.71591880953947,1,204,1502.9902853549165,241.9486018209426,57.897203641885156,24.699704574480215,11.372351121775374,62.07716446627535,807.6880298353992,0.05293786536043285,3.286232574473131,0.9326650812689578
3,120,969.3122333263507,13,13,127.99644954377013,37.992899087540216,0.25156681550383775,12.360774464742066,0.7100591715976331,12.702856657798941,12.294331945962726,9.668757155307418,39.798989873223334,9.23076923076923,0.9375260050394161,527.9855520263457,13.928385292190125,12.539013142746311,1,120,969.3122333263507,127.99644954377013,37.992899087540216,12.702856657798941,12.294331945962726,39.798989873223334,527.9855520263457,0.07575950825019874,3.0151519016500394,0.9546196827749578
4,226,1688.4751516106141,25,12,266.2397568359737,63.47951367194739,0.9045692899774129,16.96325844612841,0.7533333333333333,27.113250425224003,11.559100815133057,5.942973741000458,68.62741699796952,9.04,0.8488589483622282,889.30368105794,25.999427767751303,12.0,1,226,1688.4751516106141,266.2397568359737,63.47951367194739,27.113250425224003,11.559100815133057,68.62741699796952,889.30368105794,0.047985843440890345,3.293144487817262,0.9249876572482039
5,188,1718.4511815136166,18,15,208.22145208790127,50.44290417580247,0.5930770008955987,15.471555655790098,0.6962962962962963,17.492086956484556,14.083679387627848,30.15550821020426,53.834523779156065,9.45,0.9028848762452932,767.6318564826261,20.124031933046542,15.0,1,188,1718.4511815136166,208.22145208790127,50.44290417580247,17.492086956484556,14.083679387627848,53.834523779156065,767.6318564826261,0.06486883494510208,3.492182837378248,0.9369991714375157
6,231,2399.7840882609025,16,17,239.71806299692864,54.436125993857225,0.4579055721096094,17.14987856615383,0.8492647058823529,18.44083820416574,16.393920586498083,-66.80608231287809,55.798989873223334,12.444444444444445,0.9636320146761725,936.5376633939779,19.849411080218175,16.0,1,231,2399.7840882609025,239.71806299692864,54.436125993857225,18.44083820416574,16.393920586498083,55.798989873223334,936.5376633939779,0.07419238050717258,4.139859888590056,0.9755754739922251
7,109,780.9475738048628,14,12,125.75902458364367,38.51804916728733,0.4830501708665588,11.780624362746345,0.6488095238095238,12.865680958883702,11.265096005839998,-16.258946574262467,41.59188309203678,7.642857142857143,0.8667370024606301,452.18554277842526,15.652024836813979,12.0,1,109,780.9475738048628,125.75902458364367,38.51804916728733,12.865680958883702,11.265096005839998,41.59188309203678,452.18554277842526,0.06300997837236502,2.620703654095172,0.9260953412965818
8,143,1187.3911233630422,14,13,150.45586932076947,41.91173864153895,0.47224559876578504,13.493452297211721,0.7857142857142857,14.509126299902324,12.789316216199227,35.819928474015796,43.55634918610404,9.4,0.9504448091362014,603.5249869974375,16.40075455014397,13.0,1,143,1187.3911233630422,150.45586932076947,41.91173864153895,14.509126299902324,12.789316216199227,43.55634918610404,603.5249869974375,0.07537600154436488,3.2831034435186743,0.9622417724328058
9,156,1312.0076319554373,13,15,162.028393638079,44.0567872761581,0.539658556211608,14.093451279891855,0.8,15.50806772525198,13.05599384244433,-61.44778286445908,44.97056274847714,9.6875,0.9627942146266997,658.3459303414735,17.029241467098647,13.0,1,156,1312.0076319554373,162.028393638079,44.0567872761581,15.50806772525198,13.05599384244433,44.97056274847714,658.3459303414735,0.07713792529471131,3.4689359097531574,0.9796805862219283
10,114,898.8881980083795,13,12,126.62799637162092,38.255992743241784,0.12141176280079471,12.047792665040703,0.7307692307692307,12.291090851026128,12.200164168374675,42.872950094749285,40.59188309203678,8.214285714285714,0.9002748465310865,514.4309768529521,14.421994098426474,12.0,1,114,898.8881980083795,126.62799637162092,38.255992743241784,12.291090851026128,12.200164168374675,40.59188309203678,514.4309768529521,0.06918731121179887,2.808443248161706,0.9424542501884263
11,328,2774.942610977084,34,13,345.61665436971464,75.23330873942972,0.9215082011682842,20.435815879801165,0.7420814479638009,33.12337197424354,12.863756302945019,2.3267622861903305,78.698484809835,9.647058823529411,0.9490283406572483,1141.215393787009,34.23404652942555,13.000000000000002,1,328,2774.942610977084,345.61665436971464,75.23330873942972,33.12337197424354,12.863756302945019,78.698484809835,1141.215393787009,0.052959161688467433,4.167805781681449,0.9559689607903069
